City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Groningen,NL,53.25,6.75,48.09,73,59,8.05,broken clouds
328,Canon City,US,38.441,-105.2424,79.39,11,0,5.01,clear sky
329,La Seyne-Sur-Mer,FR,43.0982,5.8847,69.89,60,8,1.12,clear sky
330,Gravelbourg,CA,49.8834,-106.5512,57.47,29,5,11.16,clear sky
331,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,14.97,few clouds
332,Lata,PT,40.1629,-8.3327,61.81,67,46,4.61,scattered clouds
333,Rio Gallegos,AR,-51.6226,-69.2181,44.65,57,75,28.77,broken clouds
334,Deputatskiy,RU,69.3,139.9,-4.67,100,94,3.76,overcast clouds
335,Plouzane,FR,48.3833,-4.6167,59.05,77,0,11.5,clear sky
336,Tupancireta,BR,-29.0806,-53.8358,63.64,90,66,9.66,moderate rain
337,Boshnyakovo,RU,49.6333,142.1667,27.64,82,94,11.05,overcast clouds
338,San-Pedro,CI,4.7485,-6.6363,80.91,77,58,5.55,broken clouds
339,Karratha,AU,-20.7377,116.8463,73.06,79,100,10.76,light rain
340,Ahipara,NZ,-35.1667,173.1667,56.53,88,9,7.25,clear sky
341,Panzhihua,CN,26.5851,101.7128,68.23,58,65,4.41,broken clouds
342,Hakui,JP,36.8833,136.7833,52.21,70,100,12.73,overcast clouds
343,Puerto Leguizamo,CO,-0.1934,-74.7819,81.73,76,99,3.53,overcast clouds
344,Zhigansk,RU,66.7697,123.3711,7.39,98,42,7.16,scattered clouds
345,Seminole,US,28.7086,-81.2081,83.41,67,75,14.97,broken clouds
